Game Title	Year Published	Question Category	Difficulty (easy, medium, hard, children)	Type (true or false, multiple choice)	Value (points)	Question	Correct	Incorrect 1	Incorrect 2	Incorrect 3
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Wickedness never was ______.	Happiness	That much fun	Satan's plan	Worldly
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	If you love me ______.	Keep my commandments	Love one another	Pray always	Read the scriptures
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	For as in Adam all die, even so in Christ shall ______ be made alive.	All	The rightous	Young children	The prophets
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Thou shalt love thy neighbor as ______.	Thyself	A rock	I've said	Thy gold
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Have I done any good in the world ______.	Today	Of sin	Before	Just now
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	Come follow me, the ______ said.	Savior	Prophet	Mother	Father
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	As ye would that men should do to you, do ye also to them likewise is known as ______	The golden rule	A good thing	The Magna Carta	Life everlasting
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	From the hymnal complete this line: "High on a mountain top a banner is ______."	Unfurled	Raised	Waving	Our standard
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	What wicked Book of Mormon king was responsible for the death of Abinadi?	Noah	Benjamin	Limhi	Amaron
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	From the Primary Children's Song Book, finish this line: "Heavenly Father, are you really there and do you hear and answer every child's ______."	Prayer	Concern	Question	Need
Who Wants to Be a Celestial Heir?	2000	3	Medium	Multiple Choice	N/A	Who recieved the plates from Nephi?	Jacob	Sam	Second Nephi	Enos
Who Wants to Be a Celestial Heir?	2000	3	Medium	Multiple Choice	N/A	Lehi had two sons born in the wilderness. One was Jacob and the other was ______.	Joseph	John	Sam	Christopher
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	Nephi's parents' names were Lehi and ______.	Sariah	Ruth	Rachel	Rebekah
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Lehi sent Nephi and his brothers back to Jerusalem to get ______.	The brass plates	Money	Camels	Food
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	From the Primary Children's Song Book, fill in the blank: "I know my ______ lives"	Father	Redeemer	Church	Testimony
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	On the cross Jesus was given ______ to drink	Vinegar	Water	Soda pop	Hot cocoa
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Oh, theres one who ______ on high, when theres love at home.	Smiles	Prays	Cries	Laughs
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Christ invited the Nephites to thrust their hands into His side and to feel the nail prints in His hands and ______.	Feet	Leg	Heart	Wrist
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	Nephi made a ______ with his own hands.	Record	Meal	Mess	Mountain
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Lay your hands upon the ______ and they shall recover.	Sick	Poor	Aged	Rich
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Pilate ______ his hands before the multitude to show that he was not responsible for the Savior's death	Washed	Shook	Bit	Clapped
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	The Lord stretched out his hand and touched sixteen ______ with his finger to provide light for the Jaredite ships.	Stones	Marbles	Fireflies	Flashlights
Who Wants to Be a Celestial Heir?	2000	3	Medium	Multiple Choice	N/A	In John 9 is a story of a man who had been blind since birth. What did Jesus mix with the ground and anoint his eyes with?	Spittle	Grass	Water	Salt
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	Jesus told many stories to teach spiritual truths. What were these stories called?	Parables	Short stories	Fun stuff	Story time
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	We must submit cheerfully and with patience to ______ the will of the Lord.	All	Some of	Part of	None of
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	We partake of the water during the sacrament in remembrance of Jesus' ______.	Blood	Soul	Body	Love
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Name the first book in the Book of Mormon.	1 Nephi	Alma	Helaman	Omni
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Name the first book in the Old Testament.	Genesis	Exodus	Malachi	3 John
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	How many men were crucified with Jesus?	2	3	1	4
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	In Third Nephi, whose life are we encouraged to use as our example?	Jesus	The prophets	Adam & Eve	Lucifer
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Who did the Lord make a covenant with to save his family from the flood?	Noah	Adam & Eve	Abraham	King Mosiah
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	What do we believe to be the word of God, as far as it is translated correctly?	Bible	Book of Mormon	D&C	Pearl of Great Price
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	In the days of Noah, how many days was the rain upon the earth?	40 days and 40 nights	20 days and 20 nights	50 days and 50 nights	30 days and 30 nights
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	What was on the brass plates?	Important records and laws	Calendar	Nephite writings	Thanksgiving dinner
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Who got the brass plates from Laban?	Nephi	Lemuel	Laman	Sam
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	Which is not one of the usual Sunday meetings?	Seminary	Sacrament Meeting	Sunday School	Relief Society
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Where was Joseph Smith born?	Vermont	Florida	Utah	Idaho
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	At what age do girls enter Young Women?	12	14	10	16
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	At what age can boys become deacons?	12	16	14	10
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	How much is a tithe?	1/10	1/8	1/20	1/15
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Alma was converted by the words of what prophet?	Abinadi	Mosiah	Amulek	Gideon
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	When the Lord told Enos his sins were forgiven and he would be blessed, his guilt was swept away, for he knew God couldn't ______.	Lie	See him	Cry	Bless him
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	Teach me to walk in the light of his ______.	Love	Life	Truth	Spirit
Who Wants to Be a Celestial Heir?	2000	3	Children	Multiple Choice	N/A	I hope they call me on a mission, when I have ______.	Grown a foot or two	Learned the truth	Learned to help and serve	The Book of Mormon memorized.
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Who said "Well done, thou good and faithful servant; thou hast been faithful over a few things, I will make thee ruler over many things."	The Lord	Bishop	Prophet	Holy Ghost
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	Jesus saith unto him, Thomas because thou hast seen me, thou hast believed: blessed are they that have not seen and yet have ______.	Believed	Trusted in me	Seved the Lord	Obeyed
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	I will go and do the things which the Lord hath ______.	Commanded	Demanded	Reprimanded	Said
Who Wants to Be a Celestial Heir?	2000	3	Easy	Multiple Choice	N/A	He that the spirit of contention is not of me, but is of, who is the father of contention.	The devil	Jehovah	Adam	Eve
Who Wants to Be a Celestial Heir?	2000	4	Medium	Multiple Choice	N/A	Cleave to that which is ______.	Good	Great	Right	Holy
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Yea, and as often as my people ______ will I forgive them their trespasses against me."	Repent	Go to church	Remember me	Honor their parents
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Enoch was told by the Lord that men are the ______ of his hands.	Workmanship	Labor	Flesh	Sinews
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	The fruit of the spirit is ______.	Love	Service	Good	Peace
Who Wants to Be a Celestial Heir?	2000	4	Medium	Multiple Choice	N/A	Peter was told where to find money to pay his taxes and the taxes of ______?	Jesus	His brothers	His parents	His neighbors
Who Wants to Be a Celestial Heir?	2000	4	Medium	Multiple Choice	N/A	______ was ordained at the age of 134 years and four months, by the hand of Adam.	Enos	Cain	Abel	Enoch
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	What finally made Jesus' disciple, Thomas, believe that Jesus was risen?	Jesus appeared to him	Mary told him	An angel told him	The gaurds told him
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	What did the women find when they got to the tomb?	The tomb was empty	The gaurds, dead	Jesus' body	Beautiful flowers
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	What was placed in front of the tomb where Jesus was laid?	A large stone	A tree	Flowers	A wooden barricade
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	In the parablel of the ten virgins, what showed that some of them were wise?	They brought oil for their lamps	Their parents	They forgot oil	School
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	What do seeds represent in the parable of the sower?	Word of God	Food	Evil	Bad luck
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	How did Jesus teach the people?	With parables	With books	At school	With plays
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	Where love is there ______ is also	God	Joy	Mom	Dad
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Jesus said, "For I have given you an example that ye should ______."	Do as I have done to you	Serve one another	Wash one another's feet	None of the above
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	All grain is ordained for the use of man or beast to be the ______.	Staff of life	Only food they eat	Most pleasing unto me	Best food they ever ate
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Then shall the kingdom of heaven be likened unto ten virgins, which took their lamps, and went forth to meet ______.	The bridegroom	The kingdom of heaven	their maker	their uncle
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Who said, "For ye have the poor always with you; but me ye have not always."	Jesus	Matthew	Joseph Smith	Mark
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	For of him unto whom much is given much is ______.	Required	Recieved	Taken	Obtained
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	The glory and reward of exalted beings is the ______.	Celestial kingdom	Outer darkness	Telestial kingdom	Terrestial kingdom
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Who is commanded to teach the gospel to the children?	Parents	Primary President	Home teachers	Seminary teachers
Who Wants to Be a Celestial Heir?	2000	4	Medium	Multiple Choice	N/A	Before the second coming Zion shall flourish upon the hills and the Lamanites shall blossom as the ______.	Rose	Daisy	Pansy	Carnation
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	Who is our advocate with our Heavenly Father?	Christ	Ancestors	Grandparents	Adam
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Who shall reign during the millennium?	The Lord Jesus Christ	Peter, James, and John	Adam	Elijah
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	In the beginning, God created the heaven and the ______.	Earth	People	Animals	Faith
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Alma the elder was a priest to what wicked king?	Noah	Zedekiah	Solomon	Arias
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Where did Alma baptize 204 souls?	Waters of Mormon	Sidon	River Jordan	Red Sea
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	He who borrows something from his neighbor should ______ or else commit sin.	Return it	Treat it with care	Pray for forgiveness	Keep what you borrow
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	How many degrees of glory are there?	3	4	6	2
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	How many Articles of Faith are there?	13	15	12	14
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Which is not one of the first four principles and ordinances of the Gospel?	Sealing	Repentance	Faith	Baptism
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Where can you find the Articles of Faith?	Pearl of Great Price	Bible	Doctrine and Covenants	New Testament
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Where did Moroni hide the golden plates?	Hill Cumorah	Jerusalem	Manti	Garden of Eden
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	What is the name of the brass ball that directed Lehi?	Liahona	Compass	Director	Spindle
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	In Lehi's dream, what did the rod of iron represent?	The word of God	Dead water	A peaceful place	Love
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	How many pieces of silver was Christ betrayed for?	30	35	40	45
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	When we repent, we experience a change of ______.	Heart	Mind	Clothes	Soul
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Why did Nephi hold Laban by the hair of his head?	To cut off his head	they were fighting	Laban pulled his hair first	To hold his head to hit him
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Nephi said, "I was taught somewhat in the learning of my ______.	Father	Generation	People	Religion
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Adam fell that men might be, men are that they might ______.	Have joy	Be strong	Get gain	Be fruitful
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	King Benjamin taught that "When you are in the service of yout fellow beings ye are only in the service of your ______."	God	King	Brothers	Savior
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	From the hymnal, "The day dawn is breaking, the world is awakening, the clouds of night's darkness are ______."	Fleeing away	Flying away	Counsels obeyed	Raining today
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	We believe that through the atonement ofo Christ all mankind may be saved, by obedience to teh laws and _______ of the Gospel.	Ordinances	Rules	Principles	Covenants
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Lay not up for yourselves treasures upon the earth, but what?	Treasures in Heaven	A celestial family	Treasures in secret	Treasures of gold and silver
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	In Lehi's dream of the tree of life, what was the rod made of?	Iron	Olive wood	Gold	Brass
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	After this life, when all men have become immortal, they must appear before ______.	The judgement-seat	Our parents	Satan	The Holy Ghost
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	The divine plan of happiness enables family relationships to be perpetuated ______.	Beyond the grave	On this earth only	Until a temple sealing	if you're born in Nauvoo
Who Wants to Be a Celestial Heir?	2000	4	Children	Multiple Choice	N/A	There is beauty all around when there's love at ______.	Home	School	The office	The White House
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	What are we free to choose from?	Good and evil	Health and sickness	Life or death	Pleasure or pain
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	What is physical death?	The seperation of the spirit from the mortal body	When you don't feel good	Death of the body and spirit	Death of the spirit
Who Wants to Be a Celestial Heir?	2000	4	Easy	Multiple Choice	N/A	Thou shalt thank the Lord thy God ______.	In all things	Sometimes	On occasion	When you feel worthy
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Through the atonement of Christ all mankind may be saved by obedience to ______.	The laws and ordinances of the gospel	Parents	The government	The laws of the land
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Where will Zion, the New Jerusalem, be built?	The American continent	Egypt	The tallest mountain	The isles of the sea
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Spencer W. Kimball encouraged all members to keep a written _______.	Journal	Pet	Scrapbook	Treasures of truth
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Thou shalt not speak evil of thy neighbor, nor do him any what?	Harm	Good	Evil	Deceit
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Latter-day Saints should be the most ______ people in all the earth.	Reverent	Scholarly	Intelligent	Peculiar
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Thou shalt not take the name of the Lord thy God in ______.	Vain	Profanity	An unclean manner	Humor
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	See that ye refrain from ______.	Idleness	Lusts	Evil	Sin
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Thou hast been faithful over a few things, I will make thee ruler of ______.	Many things	Many kingdoms	My people	My sheep
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Where did Jesus tell Peter to find the money so he could pay taxes?	In a fish's mouth	In an empty jug	In the house of a friend	In a purse
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Who said, "Behold I see the heavens opened, and the Son of Man standing on the right hand of God."	Stephen	Peter	Mattias	Mark
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	How many did Jesus feed with five loaves of bread and two fish?	Five thousand	Twelve	Nine thousand	One thousand
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Name the garden where Jesus prayed prior to His betrayal.	Gethsemane	Adam-ondi-Ahman	Garden of Eden	Mount of Olives
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	How many sections are there in the Doctrine & Covenants?	138	201	99	152
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Which is not a book in the Book of Mormon?	Micah	Ether	Alma	Omni
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	What does baptism by immersion symbolize?	Christ's death, burial, & resurrection	The dove of peace	Cleansing by fire	Eternal life
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Where was Lehi told to go when he left Jerusalem?	To the wilderness	To a body of water	To a desert	Another city
Who Wants to Be a Celestial Heir?	2000	5	Children	Multiple Choice	N/A	Who appeard to Joseph Smith in the First Vision?	The Father and the Son	A brother and sister	the angel Moroni	Adam
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	How long did it take to build the Salt Lake Temple?	40 years	30 years	20 years	10 years
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	What year did Joseph Smith have the First Vision?	1820	1815	1825	1830
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Man should be diligent, that thereby he might win the ______.	Prize	Gift	Game	Race
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	All things are ______ unto the Lord.	Spiritual	Temporal	Perfect	Humble
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	The faithful become the sons of God through ______.	The atonement	Repentance	Their callings	Prayer
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Jesus said He would gather His elect from ______.	The four quarters of the earth	The North Pole	The equator	The center of the earth
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	The elder of the church were sent forth to cry repentence and prepare men for the ______.	Great day of the Lord	Gospel	Ten commandments	Telestial Kingdon
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	What is the day and hour Christ will come for the redemption of the world?	No man knows	Easter sunday at 1:00 a.m.	April 6, 2010	He has already come
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Called to serve Him, heav'nly King of Glory, chosen e'er to ______.	Witness for his name	Bring praises unto Him.	Glory in his name	Sing triumphant songs
Who Wants to Be a Celestial Heir?	2000	5	Children	Multiple Choice	N/A	We have been born as Nephi of old, to goodly parents who ______.	Love the lord	Build up the kingdom	Study and pray	put us in time out
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	I, the Lord, will forgive whom I will forgive, but of you it is required to forgive ______.	All men	Your neighbor	Your family	Your friends
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Who is in charge of the store-house and care for the poor and needy?	Bishop	Deacons	High priests	Elders
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	The mysteries of the kingdom will be revealed to all the ______.	Faithful	World	Members of the church	Prophets
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	What is the sea of glass spoken of by John in revelations 4:6?	The earth in it's eternal state	Waters of the earth	The evils of the world	Mirrors in the temple
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Where will the New Jerusalem and the new temple be built in the last days?	Missouri	Jerusalem	New York	Utah
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Arise early, that your bodies and your minds may be ______.	Invigorated	Enlightened	Weary	Quickened
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	When the man recieved the one talent, what did he do with it?	Buried it	Cried	Begged for more	Doubled it
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Grain is for the use of man, corn is for ______?	The ox	Fowls of the air	The beasts of the field	The horse
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	When should we eat meat?	Winter, cold or famine	Wnter, spring, summer & fall	When we are sick	Every other day
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	When has the Lord told us to eat herbs and fruits?	In the season thereof	All the days of our life	at Thanksgiving	In the morning
Who Wants to Be a Celestial Heir?	2000	5	Children	Multiple Choice	N/A	A new commandment I give unto you, That ye ______ one another as I have loved you.	Love	Pray	Serve	Help
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Who was the fifth prophet of the Church of Jesus Christ of Latter-day Saints?	Lorenzo Snow	Wilford Woodruff	Heber J. Grant	Joseph F. Smith
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	We believe in being subject to ______, presidents, rulers, and magistrates, in obeying, honoring and sustaining the law.	Kings	Prophets	Stake presidents	Queens
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	All those who are true believers in Christ took upon them gladly ______.	The name of Christ	A coat of many colors	A commitment	A joyful life
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Because of the atonement, all men become incorruptible and ______.	Immortal	Ransomed	Tormented	Judged
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Jesus saith unto him, I am the way, the truth and the ______.	Life	Light	Commandments	Word
Who Wants to Be a Celestial Heir?	2000	5	Children	Multiple Choice	N/A	From the Children's Songbook, "I feel my Savior's love, in all the world ______."	Around me	Beneath me	Under me	Above me
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	From the Hymnal, "Now let us rejoice in the day of ______."	Salvation	Gladness	Redemption	Judgement
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Who abridged the plates of Nephi?	Mormon	Moroni	Amaleki	Joseph Smith
Who Wants to Be a Celestial Heir?	2000	5	Medium	Multiple Choice	N/A	Who is not one of the four sons of Mosiah?	Himni	Omner	Aaron	Gideon
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Name Joseph Smith's oldest brother.	Alvin	Hyrum	Alma	Sam
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	Be ye ______ of the word, and not hearers only, deceiving your own selves.	Doers	Teachers	Reapers	Speakers
Who Wants to Be a Celestial Heir?	2000	5	Easy	Multiple Choice	N/A	When harvest time came, what did the reapers gather first?	Tares	Corn	Peas	Fruit
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	No man shall come unto the Father but by me or by my ______	Word	Glory	Son	Grace
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	Which is the greatest of all the gifts of God	Eternal life	Forgiveness	Love of God	Salvation
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	Which book in the Old Testament is not known for its poetry	Malachi	Job	Psalms	Song of Solomon
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	What is the first commandment about?	No other Gods	Graven images	Sabbath day	Killing
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	Which one was not one of Jacob's 12 sons?	Ham	Gad	Benjamin	Joseph
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	Who described the Book of Mormon and the Bible as the stick of Joseph and stick of Judah?	Ezekial	Jethro	David	Judah
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	What was Abraham's seed compared to in number?	The dust of the earth	Flowers	Grass	Trees
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	What does the rainbow stand for?	A covenant of no more flooding of the entire earth	The colors of the earth	The beauty of this life	A reminder of the flood
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	And faith, hope, charity and love, with an eye single to the glory of God qualify him for the ______.	Work	Celestial kingdom	Priesthood	Temple
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	______ is a natural outgrowth of the refining influence of the Spirit of the Lord.	Courtesy	Manners	Respect	Gratitude
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	Who did the Savior ask three times. "Lovest thou me?"	Peter	Judas	John	James
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	When Jesus was crucified, how long did the darkness last in Jerusalem?	3 hours	2 days	1 day	12 hours
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	In the last days according to Isaiah, where shall the Lord's House be established?	On the tops of the mountains	In the valleys	At a resort	Asia
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	Who was not one of the Three Witnesses to the Book of Mormon?	Hiram Page	David Whitmer	Martin Harris	Oliver Cowdrey
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	When was the Aaronic Priesthood restored?	May 15, 1829	June 25, 1492	January 12, 1890	December 2, 1812
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	How old was Joseph Smith when he was killed?	Thirty-eight	Forty-two	Fifty	Twenty-seven
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	A millennium is how long?	1000 years	100 years	50 years	10 years
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	The final battle between the Lamanites and the Nephites occured in ______.	385 AD	200 BC	600 AD	800 BC
Who Wants to Be a Celestial Heir?	2000	6	Easy	Multiple Choice	N/A	In 2 Nephi 3:1 there are four men who will share the same name, what is that name?	Joseph	David	Isaiah	Jacob
Who Wants to Be a Celestial Heir?	2000	6	Medium	Multiple Choice	N/A	The Bible contains words written by descendants of ______.	Judah	Joshua	Lehi	Isaiah
